track_name,artist_name,release_date,length,popularity,artist_pop,artist_genres,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,sadness,joy,love,anger,fear,surprise,LABEL_0,LABEL_1,LABEL_2,NEGATIVE,POSITIVE
BESO,ROSALÍA,2023-03-24,194543,96,85,"['pop', 'r&b en espanol']",0.736,0.768,0.644,0.000837,0.173,-6.671,0.136,95.05,0.53,0.05132919177412987,0.6648656129837036,0.018374551087617874,0.20940542221069336,0.05097059905529022,0.0050546457059681416,0.06241358816623688,0.8905251622200012,0.0470612458884716,0.9938563704490662,0.006143586710095406
Here With Me,d4vd,2023-05-26,242484,87,80,"['bedroom pop', 'bedroom r&b']",0.544,0.571,0.458,9.27e-05,0.123,-9.283,0.0258,132.025,0.299,0.004250694066286087,0.9909549355506897,0.001697961357422173,0.0017830003052949905,0.0009519405430182815,0.00036147027276456356,0.08869611471891403,0.5153487324714661,0.3959551453590393,0.08053310960531235,0.9194668531417847
OMG,NewJeans,2023-01-02,212253,92,80,"['k-pop', 'k-pop girl group']",0.357,0.804,0.771,3.07e-06,0.108,-4.067,0.0433,126.956,0.739,0.005210013594478369,0.8378914594650269,0.00518986489623785,0.023937424644827843,0.11813641339540482,0.009634813293814659,0.07967636734247208,0.5963338613510132,0.32398971915245056,0.01682553067803383,0.9831745028495789
I'm Good,David Guetta,2022-08-26,175238,95,88,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",0.00383,0.561,0.965,7.07e-06,0.371,-3.673,0.0343,128.04,0.304,0.0005300230113789439,0.9984638690948486,0.0005009103333577514,0.00017599853163119406,0.00014819460920989513,0.00018103254842571914,0.008731580339372158,0.3023391664028168,0.6889292597770691,0.0009069211664609611,0.9990930557250977
I Ain't Worried,OneRepublic,2022-05-13,148485,94,83,"['piano rock', 'pop']",0.0826,0.704,0.797,0.000745,0.0546,-5.927,0.0475,139.994,0.825,0.014944973401725292,0.02499917335808277,0.0015234526945278049,0.04268798977136612,0.9149643182754517,0.0008800766663625836,0.13698840141296387,0.6718811988830566,0.1911303997039795,0.9687915444374084,0.031208500266075134
Moonlight,Kali Uchis,2023-02-24,187557,89,85,['colombian pop'],0.511,0.639,0.723,0.0,0.167,-6.462,0.0532,136.872,0.878,0.0093885762616992,0.9689064621925354,0.006235657259821892,0.010061359032988548,0.004238214809447527,0.0011696434812620282,0.0609486885368824,0.7724687457084656,0.16658256947994232,0.987188994884491,0.012811019085347652
Miracle,Calvin Harris,2023-03-10,186496,92,86,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']",0.0378,0.636,0.869,0.0446,0.0808,-5.289,0.0412,143.011,0.306,0.002655127551406622,0.0012259335489943624,0.0005049708997830749,0.0014539631083607674,0.9936879277229309,0.00047203004942275584,0.1390240341424942,0.7512432336807251,0.10973279178142548,0.6881500482559204,0.31185001134872437
Nonsense,Sabrina Carpenter,2022-07-15,163648,90,77,['pop'],0.0268,0.74,0.697,0.0,0.224,-4.912,0.034,138.992,0.732,0.004502176307141781,0.9931233525276184,0.001134118065237999,0.0004224271106068045,0.00040132025605998933,0.00041666996548883617,0.31612882018089294,0.5960725545883179,0.08779862523078918,0.9936311841011047,0.006368773058056831
ceilings,Lizzy McAlpine,2022-04-08,182887,90,73,"['alt z', 'boston folk', 'indie pop']",0.473,0.516,0.322,0.00194,0.215,-11.762,0.0292,148.005,0.261,0.0009575177682563663,0.009498906321823597,0.9875274300575256,0.00032903297687880695,0.0004928481648676097,0.001194193260744214,0.11009726673364639,0.5000973343849182,0.389805406332016,0.9903128147125244,0.009687154553830624
Bad Habit,Steve Lacy,2022-06-29,232114,86,81,['afrofuturism'],0.626,0.686,0.507,7.51e-05,0.383,-7.097,0.0357,168.955,0.69,0.020796556025743484,0.8939427733421326,0.016950923949480057,0.05223409831523895,0.01384265348315239,0.0022330330684781075,0.24302589893341064,0.6718021631240845,0.08517201989889145,0.989822268486023,0.010177729651331902
AMERICA HAS A PROBLEM,Beyoncé,2023-05-19,260962,86,87,"['pop', 'r&b']",0.0112,0.784,0.7,1.76e-05,0.163,-5.289,0.0396,126.015,0.204,0.03487134352326393,0.8053507208824158,0.011610545217990875,0.10672012716531754,0.03560946136713028,0.005837792530655861,0.19707508385181427,0.6642767190933228,0.13864818215370178,0.9964861869812012,0.003513840027153492
Unholy,Sam Smith,2022-09-22,156943,91,84,"['pop', 'uk pop']",0.013,0.714,0.472,4.51e-06,0.266,-7.375,0.0864,131.121,0.238,0.0038656899705529213,0.008553557097911835,0.9774572849273682,0.007585544139146805,0.00112617458216846,0.0014117116807028651,0.19866660237312317,0.6657141447067261,0.13561928272247314,0.9965059757232666,0.0034940121695399284
Just Wanna Rock,Lil Uzi Vert,2022-10-17,123890,90,86,"['melodic rap', 'philly rap', 'rage rap', 'rap']",0.0652,0.486,0.545,0.00474,0.0642,-7.924,0.0336,150.187,0.0385,0.03721093758940697,0.5695747137069702,0.008635574951767921,0.28939956426620483,0.08646579086780548,0.008713457733392715,0.2066042721271515,0.720683753490448,0.07271206378936768,0.9958508014678955,0.0041491626761853695
Sprinter,Dave,2023-06-01,229133,91,80,['uk hip hop'],0.186,0.916,0.583,0.0,0.0798,-8.067,0.241,141.095,0.661,0.018549630418419838,0.8981587886810303,0.006463212892413139,0.06680594384670258,0.007799261249601841,0.002223164541646838,0.39746084809303284,0.5633557438850403,0.03918343037366867,0.9979557991027832,0.002044194145128131
Bones,Imagine Dragons,2022-03-11,165264,87,87,"['modern rock', 'pop', 'rock']",0.0206,0.773,0.742,0.0,0.0754,-3.678,0.046,114.071,0.571,0.003558829426765442,0.9918448328971863,0.0008700736798346043,0.0019109711283817887,0.0007068834383971989,0.0011083855060860515,0.4253648519515991,0.5109259486198425,0.06370922178030014,0.9673898816108704,0.03261018171906471
Last Night,Morgan Wallen,2023-01-31,163854,90,90,['contemporary country'],0.459,0.517,0.675,0.0,0.151,-5.382,0.0357,203.853,0.518,0.06145602464675903,0.8126022219657898,0.01343398354947567,0.0709703341126442,0.03577322140336037,0.005764210131019354,0.2634167969226837,0.6800239086151123,0.056559257209300995,0.996509850025177,0.0034900892060250044
Angel Pt. 1,Fast & Furious: The Fast Saga,2023-05-18,175802,85,84,"['florida drill', 'florida rap', 'melodic rap', 'miami hip hop', 'rap', 'trap', 'trap latino']",0.108,0.533,0.67,0.0,0.0983,-4.274,0.275,73.753,0.239,0.2599213123321533,0.19708064198493958,0.009966057725250721,0.34543555974960327,0.17920427024364471,0.00839212629944086,0.09502431005239487,0.8545093536376953,0.05046641826629639,0.9719818830490112,0.028018146753311157
Tattoo,Loreen,2023-02-25,183374,93,74,"['europop', 'swedish pop']",0.243,0.545,0.779,1.66e-06,0.123,-6.235,0.0751,150.002,0.303,0.03823302686214447,0.8840134739875793,0.054614875465631485,0.018669281154870987,0.0027683228254318237,0.00170107651501894,0.16687846183776855,0.7148839831352234,0.11823759227991104,0.9964258074760437,0.003574228147044778
